"question","answer"
"Nicel Dağılma Serileri","Evrendeki veya örneklemdeki birimlerin nicel değişkenin çeşitli ölçme düzeylerine göre dağılışını gösteren serilere nicel dağılma serileri denir. Nicel dağılma serileri,
• Frekans serileri (sınıflandırılmış seriler)
• Gruplandırılmış seriler
şeklinde düzenlenebilir."
"Nicel Dağılma Serileri Frekans Serileri","İlgilenilen bir nicel değişkenin aldığı değerleri bir sütunda ve bu değerlerin frekanslarını diğer sütunda göstermek sureti ile oluşturulan serilere frekans serileri denir."
"Nicel Dağılma Serileri Gruplandırılmış Seriler","Nicel frekans serilerinde birbirinden farklı olarak ortaya
çıkan birim sayısının artması durumunda, verileri frekans serisi şeklinde sunulması zorlaşır. Bu tür durumlarda tablonun daha da özet hale getirilmesi istenebilir. Bu amaçla gruplandırılmış seri oluşturulur. Bir değişkenin birbirine yakın ölçme düzeylerini bir araya  getirmeye gruplama adı verilir."
"Nitel Dağılma Serileri","Evrendeki veya örneklemdeki birimlerin bir nitel değişkenin ölçme düzeylerine göre dağılımını gösteren serilere nitel dağılma serileri denir.
Nitel dağılma serilerinde iki sütun yer alır. İlk sütunda ilgilenilen değişkenin kategorileri yer alırken ikinci sütunda ilgili kategorilerin frekansları gösterilir."
" ZAMAN SERİLERİ","Zamana bağlı bir değişkenin zaman değişkeninin uygun ölçme düzeylerine göre aldığı değerlerin alt alta (kronolojik olarak) sıralanmasıyla oluşturulan serilere zaman serisi denir.
Zaman serileri iki sütun halinde oluşturulur. Birinci sütunda zaman değişkeninin ölçme düzeyleri yer alır. Bu ölçme düzeyleri gün, hafta, ay, çeyrek yıl, mevsim, yıl ve benzeri gibi olabilir. İkinci sütunda ise ilgilenilen bir değişkenin zaman değişkeninin bu ölçme düzeylerine karşı gelen değerleri sıralanır."
"MEKAN SERİLERİ","İlgilenilen değişkenin sahip olduğu değerlerin mekâna göre
sınıflandırılması ile elde edilen seri, mekân serisi olarak
adlandırılır.
Mekân serilerinde değişkenin ortaya çıkan sonuçları mekân
değişkeninin ölçme düzeyleri itibari ile gösterilir."
"İSTATİSTİKTE ORTALAMALAR","Ortalama, serinin en küçük gözlem değeri ile en büyük gözlem değeri arasında yer alan, hesaplanabilir bir değerdir."
"ORTALAMA DEĞER HESAPLAMA AMACI","Ortalama değer hesaplamada amaç, seri değerlerini
temsil eden, bir değer hesaplamaktır.
Hesaplanan ortama değer seri değerlerine büyüklük
itibariyle benziyorsa bu ortalama temsilidir denir."
"SERİNİN HOMOJENLİĞİ VE ORTALAMA İLİŞKİSİ","Homojenlik, gözlem birimlerinden derlenen verilerin
değerce bir birine benzemesi demektir."
"DUYARLI ORTALAMALAR",". Bu grupta yer alan ortalamaların ortak özellikleri;
• Ortalama hesaplanırken serinin bütün gözlem 
değerleri dikkate alınır.
• Gözlem değerlerinde meydana gelebilecek 
değişiklikten hemen etkilenirler."
"DUYARLI ORTALAMALAR 1. ARİTMETİK ORTALAMA ","Ortalaması hesaplanacak serideki gözlem değerlerinin hepsi eşit önemde ise
• Basit Aritmetik Ortalama
farklı önemde ise
• Tartılı Aritmetik Ortalama
söz konusudur"
"Basit Aritmetik Ortalama","Ortalamalar içinde en yaygın biçimde kullanılan ortalama,aritmetik ortalamadır ve ortalama denildiğinde ilk akla gelenortalama türüdür. Aritmetik ortalama, gözlem değerlerinincebirsel toplamının gözlem sayısına bölünmesi ile hesaplanır."
"Frekans Serilerinde Basit Aritmetik Ortalama","Frekans serilerinde aritmetik ortalama, frekans serisi şeklinde düzenlenen bölünme serilerinin aritmetik ortalaması, gözlem değerlerinin frekanslarla(sıklıklar) çarpımları toplamının frekanslar toplamına oranı olarak tanımlanır."
"DUYARLI OLMAYAN ORTALAMALAR","Duyarlı ortalamalar seriyi oluşturan gözlem değerlerinin
herhangi birinde mey dana gelen aşırı değişiklikten
etkilenen ortalamalardır. Oysa seriyi oluşturan gözlem
değerlerinden bazıları, uç değer alabilir. Böyle serilerin
ortalama hesabında, duyarlı olmayan ortalamaları
kullanmak gerekir.
Duyarlı olmayan ortalamalar 
• Medyan
• Mod
olmak üzere iki başlık altında incelenecektir."
"MEDYAN nedir?","Dizilerde medyan hesabı; gözlem değerleri küçükten büyüğedoğru sıralanmış bir seride, tam ortadaki değer medyandır."
"ÖRNEK 1: MEDYAN","Bir Üniversitenin spor  salonuna iki ay süre ile 
devam eden 5 üyenin ağırlık(kg) kayıpları aşağıdaki  gibidir. 
Bu ağırlıkların medyan
ortalaması nedir?
Xi:   10, 5, 19, 8, 3
Çözüm: Veriler incelendiğinde  küçük değerliden büyük 
değerliye bir sıralamanın  olmadığı görülmektedir. Bu 
nedenle, önce veriler küçükten  büyüğe doğru sıralanır."
"MOD nedir?","Mod, seride en çok tekrarlanan gözlem değeri olarak tanımlanır. Mod, şimdiye kadar incelenen ortalamalar arasında en az hassas (duyarlı) olanıdır. Serideki çok büyük ve çok küçük gözlem değerlerinin etkisi altında kalmaz. Mod iktisadi olay larda, kalite kontrolünde ve özellikle ayakkabı ve hazır giyim üretiminde yaygın kullanıma sahip bir ortalamadır."
"ÖRNEK 1: MOD","Elazığ-Ankara arasındaki yol üzerinde sekiz farklı marka
otomobilin bir saatlik sürede kat ettikleri mesafeler (km)
aşağıda verilmiştir. Mod ortalama nedir?
68, 69, 71, 73, 74, 75, 77, 81
Veriler incelendiğinde gözlem değerlerinin aldığı değerler
itibariyle hepsi bir birinden farklıdır. Bu nedenle söz konusu bu serinin modu yoktur.
NOT: Mod hesaplanabilmesi için bir değerin gözlem sayının öne çıkması gerekir. Örneğin söz konu su sekiz araçtan ikisi aynı mesafeyi kat etseydi
68, 69, 71, 73, 74, 74, 77, 81
bu durumda diğerlerinden daha çok gözlenmiş olan 74 mod olurdu. Mod = 74 km’dir."
"FREKANS SERİLERİNDE MOD","Frekans serilerinde mod, en yüksek frekansa sahip gözlem değeri olarak tanımlanır."
"ORTALAMALARIN KARŞILAŞTIRILMASI","• Ortalama hesabında, aritmetik ortalama, medyan
mod vb. den hangisinin daha iyi bir ortalama olduğu
söylenemez. Bunlardan her biri farklı durumlar için
en iyi ortalama olabilir.
• Ortalamalar içinde en yaygın kullanıma sahip olan
aritmetik ortalamadır, bunu medyan izler.
• Medyan, uç değerler içeren seriler için en iyi
ortalamadır.
• Mod ise kolay hesaplanmakla birlikte pratik
yaşamda kullanımı azdır."
"DEĞİŞKENLİK VE DAĞILMA ÖLÇÜLERİ","Ortalamalar (aritmetik. ort., medyan, mod vb.) bir seriyi
özetlemek için gerekli olmakla birlikte, tek başlarına yetersiz
kalırlar. Seriyi oluşturan gözlem değerlerinin birbirlerinden ve aritmetik ortalamadan ne derece uzaklaştıkları, değişkenlik ölçüsü ile belirlenir. Birçok durumda olduğu gibi, aşağıdaki bazı durumlarda seriyi oluşturan gözlem değerlerinin değişkenlik derecesinin bilinmesi büyük önem taşır. Aynı aritmetik ortalamaya sahip iki seri, bütünüyle farklı dağılabilir."
"Standart Sapma ","Bir seriyi oluşturan gözlem değelerinin aritemeritk ortalamadan sapmalarının kareli ortalaması standart sapma olarak tanımlanır."
"Standart Sapmayı Ortalamalarla ilişkisini 
kullanarak Hesaplama ","Özellikle aritmetik ortalama tamsayı çıkmadığında elle
veya hesap makinesi kullanılarak yapılan standart
sapma hesabında kolaylık ve çabukluk sağlar."
"Değişim Katsayısı","ÖNEMLİ NOT: İki seri değişim katsayısı ölçüsü ile kıyaslandığında değişim katsayısı  küçük olan serinin değişkenliğinin, diğerine göre daha az olduğu söylenir."
"LİTERATÜR (ALANYAZIN) TARAMASININ 
BİLİMSEL ARAŞTIRMADAKİ ÖNEMİ","Literatür taraması, bilimsel araştırmanın temel yapı taşlarından biridir ve araştırma sürecinin her aşamasında kritik bir rol oynar.
Bu süreç, araştırmacının çalışma alanındaki mevcut bilgi birikimini sistematik olarak incelemesini, araştırma boşluklarını tespit etmesini ve kendi çalışmasını bu bağlamda konumlandırmasını sağlar."
"LİTERATÜR TARAMASI","Literatür taraması, bir araştırma konusuyla ilgili
mevcut bilimsel bilgi birikiminin sistematik
incelenmesidir."
"LİTERATÜR TARAMASI AŞAMALARI","Literatür taraması disiplinden disipline ve araştırılan
konudan konuya şekil ve yöntem olarak değişiklik
göstermektedir. Araştırma konusunun nicel veya nitel
olması, teorik veya uygulamaya dayalı olması,
çalışmanın tez, proje ve rapor gibi farklı formatta
sunulacak olması, çalışmaya ayrılacak süre ve çalışma
konusunun yeni bir araştırma sahası ile ilgili olup
olmaması gibi hususların literatür taramasının yöntemi
üzerinde etkisi vardır.

Ancak, farklı şartlara ve durumlara göre değişiklik
gösterse de akademik araştırmalar için yürütülecek
olan literatür taramalarında takip edilecek temel bazı
aşamalar bulunmaktadır. Bu aşamalar, özellikle lisans,
yüksek lisans ve doktora tezleri için başlangıçtan sona
doğru aşağıdaki gibi sıralanabilir.
1. Planlama 
2. Kaynakların araştırılması, bulunması 
3. Kaynakların incelenmesi, literatür dokümanının   
hazırlanması 
4. Literatürün metne aktarılması, yazılması"
"LİTERATÜR TARAMASININ AMAÇLARI","• Kavramsal Çerçeve Oluşturmak
• Sorunu Sınırlamak
• Yeni Yaklaşımlar Bulmak
• Olanaksızlıkla Uğraşmayı Önlemek"
"LİTERATÜR TARAMASININ AMAÇLARI DEVAMI","• Önemli Çalışmaları Öğrenmek
• Elde Edilen Sonuçları Karşılaştırmak
• Toplu Değerlendirmeler Yapmak
• Sorular ve Denenceler Geliştirmek
• Alandaki Boşlukları Görmek
• Alandaki Güncel Tartışmaları Saptamak"
"LİTERATÜR TARAMASINDA BİLGİ 
KAYNAKLARININ SINIFLANDIRMASI","Bilginin kökenine olan fiziksel yakınlığa göre bilgi
kaynakları genellikle üç grupta ele alınmıştır:
• Birincil kaynaklar
• İkincil kaynaklar
• Üçüncül Kaynaklar"
"BİRİNCİL KAYNAKLAR TANIMI","Birincil kaynak, kişinin bir olaya doğrudan katılması
veya olayı gözlemlemesi sonucu edinilen yazılı veya
sözlü bilgileri içeren bilgi kaynaklarıdır. Başka bir
ifadeyle, spesifik bir amaç için konuya ilişkin bilginin
orijinal kaynağından ve İncelenen konuya bağlı olarak
insanlar, belgeler, canlı ve cansız varlıklar birer bilgi
kaynağı görevi görebilir.
Bilgi Kaynakları ve Bilgi Toplama doğrudan araştırmacı
tarafından toplanmasıyla elde edilen bilgilere birincil
bilgiler denir."
"BİRİNCİL KAYNAKLAR","• Orijinal araştırma makaleleri 
• Ham veriler 
• Tez çalışmaları 
• Patent belgeleri 
• Konferans bildirileri 
• Araştırma raporları "
"İKİNCİL KAYNAKLAR TANIMI","İkincil kaynak, olaylar hakkında ikinci el
bilgiler sunar.
Herhangi bir amaçla, başka kişi veya
kurumlar tarafından toplanan verilerin
oluşturduğu kaynaklara ikincil kaynak
denir."
"İKİNCİL KAYNAKLAR ","• Derleme makaleleri 
• Kitaplar 
• Ansiklopediler 
• Bibliyografyalar 
• Meta-analiz çalışmaları
• Eleştiri yazıları 
• İndeks ve özetler"
"ÜÇÜNCÜL KAYNAKLAR ","Üçüncül kaynaklara ise arama araçları
(motorları) da denir ve bunlar birincil ve
ikincil kaynakları yerleştirmeye yardımcı
olmak ya da bir konuyu tanıtmak için
tasarlanmıştır.
Çok sayıda derginin makalelerini, bazen de kitapları,
kitap bölümlerini, raporları, tezleri, konferans ve
araştırmaları endeks yapan veri tabanları bu tür
kaynaklara örnek verilebilir."
"LİTERATÜR TARAMASINDA BİLGİ 
KAYNAKLARI","Araştırmacının kendi araştırmasını yürütürken
yararlanabileceği çok değişik kaynaklar mevcut olup, bu
kaynaklardan yararlanabilmesi için bunların bulunduğu
yerleri bilmesi gerekir.
Bu kaynaklardan bir kısmı basılı iken, diğerleri basılı
değildir. Basılı kaynaklara özellikle kütüphanelerde ve
arşivlerde ulaşılabilir."
"VERİ TABANLARI","Birçok alanda yapılmış olan araştırmaları saptamayı kolaylaştırmak amacıyla özel hazırlanmış veri tabanları bulunmaktadır. Bunların çoğu profesyonelce geliştirilmiş ve akademik kontrollerden geçmiş veri tabanlarıdır. Veri tabanları kendi içinde “özetlemeleri içeren veri tabanları” ve “alıntıları gösteren veri tabanları” olarak da ayrılabilir.
Akademik veri tabanları, özellikle akademik çalışmalarda bilgiye erişmek için kullanılan kaynaklardır. Bu veri tabanları, akademisyenler, araştırmacılar ve öğrenciler tarafından kullanılmaktadır. Gerek özgün araştırma çalışmalarında gerekse literatür taramalarında önemli bir kaynak olarak kullanılmaktadır. Akademik veri tabanları, uluslararası dergiler, bildiriler, konferanslar, çevrimiçi kitaplar ve çevrimiçi referanslar gibi çok çeşitli kaynakları kapsamaktadır."
"ULUSLARARASI VERİ TABANLARI - Genel Akademik","• Web of Science
• Scopus
• Google Scholar
• JSTOR
• ProQuest
• Science Direct
• Springer Link"
"ULUSLARARASI VERİ TABANLARI - Disiplin Spesifik","• PubMed (Tıp ve Sağlık)
• IEEE Xplore (Mühendislik)
• MathSciNet (Matematik)
• PsycINFO (Psikoloji)
• ERIC (Eğitim)"
"VERİ TABANLARI - ULUSAL VERİ TABANLARI (Türkiye)","• Cumhurbaşkanlığı
Millet Kütüphanesi
• TÜBİTAK ULAKBİM TR Dizin
• Dergi Park Akademik
• YÖK Tez Merkezi
• Milli Kütüphane
• SOBIAD"
"VERİ TABANLARI - ULUSAL VERİ TABANLARI (Diğer Ülkeler)","• CNKI (Çin)
• J-STAGE(Japonya)
• SUDOC (Fransa)"
"VERİ TABANLARI - AÇIK ERİŞİM KAYNAKLARI (Akademik)","• DOAJ (Directory of
Open Access Journals)
• arXiv
• PLoS
• ResearchGate
• Academia.edu"
"VERİ TABANLARI - AÇIK ERİŞİM KAYNAKLARI (Kurumsal)","• Üniversite
Repozitoryleri
• Araştırma Merkezleri
Arşivleri
• Akademik Kurumlar"
"VERİ TABANLARI - Tez Veri Tabanları (Uluslararası)","• ProQuest
Dissertations & Theses
• DART-Europe
• EThOS (İngiltere)
• Theses.fr (Fransa)"
"VERİ TABANLARI - Tez Veri Tabanları (Ulusal)","• YÖK Ulusal Tez
Merkezi
• Üniversite Tez Veri
Tabanları"
"Yapay Zeka Destekli Literatür Taraması","Yapay zeka destekli literatür tarama, akademik
araştırma süreçlerini dönüştüren yenilikçi bir
yaklaşımdır. Bu teknoloji, araştırmacıların geniş veri
tabanlarını hızlı ve etkili bir şekilde analiz etmesine, ilgili
kaynakları belirlemesine ve araştırma alanlarındaki
boşlukları tespit etmesine olanak tanır. Geleneksel
manuel tarama yöntemlerine kıyasla, yapay zeka
algoritmaları, binlerce makaleyi saniyeler içinde
tarayabilir, semantik ilişkileri analiz edebilir ve
araştırmacılara değerli içgörüler sunabilir."
"Yapay Zeka Destekli Literatür Taraması Web Siteleri","• Elicit
• Research Rabbit
• Scite.ai
• Connected Papers
• Consensus
• LitMaps
• VOSviewer"
"KİTAPLAR","En önemli basılı bilgi kaynağı yayınlanmış kitaplardır.
Araştırmacı ele aldığı konuyla ilgili temel kitapları nerede
bulabileceğini araştırma sürecinin en başında genel olarak
bilmelidir.
Kitaplar özellikle araştırmacının araştırma sorularını ve amacını
belirlemesinde veya kullanacağı yöntemleri seçmesinde ona
rehberlik eder. Bu noktada kitaplarda sunulan bilgilerin
güncelliğini koruyup korumadığını kontrol etmenin büyük önem
taşıdığını belirtmekte özellikle yarar vardır. Araştırmacının
mümkün olduğunca bir kitabın en son baskısını temin etmesi,
daha güncel bilgilere ulaşması için gereklidir."
"TEZLER","Üniversiterlerde çeşitli bilim dallarındaki birçok konuyla ilgili tezler yapılmaktadır. Bunlar genelde yüksek lisans ve doktora tezleridir. Bazı üniversitelerde, fakültelerde ya da bölümlerde lisans bitirme tezleri de bulunmaktadır."
"BİLİMSEL DERGİLER","Bilimsel dergiler, belli bir konuyu incelemek isteyenlerin
başvurduğu temel kaynaklardan biridir. Bunların birçoğu
basılı formatta olmasına rağmen, günümüzde giderek daha
fazla sayıda bilimsel dergi internet aracılığıyla elektronik
formatta yayınlanmaktadır.
Özellikle güvenilir kuruluşlarca yayınlanan hakemli bilimsel
dergiler özel bir araştırma konusuyla ilgili geçmişteki
araştırmaları ve bunların ulaştığı sonuçları ayrıntılı olarak
açıklamaktadır. Bu yayınlar araştırmacılara rehberlik etmekte
ve o konuyla ilgili literatürün oluşumuna büyük katkı
sağlamaktadır."
"Kongre, Sempozyum, Konferans ve 
Seminerler","Üniversiteler ve bazı özel kuruluşlar çeşitli zamanlarda
kongre, sempozyum, konferans ve seminer gibi
etkinlikler düzenlemektedir. Bu tür etkinliklerde alanında
uzman kişiler konuşmalar yapmakta, belli bir konuyla
ilgili çalışmalarını (bildiri, makale vb.) başkalarıyla
paylaşmaktadır. Bu etkinliklerdeki konuşmalar ve
çalışmalar genelde basılı ya da elektronik olarak
kaydedilmekte, konuyla ilgilenen araştırmacılar için
önemli birer bilgi kaynağı görevi görmektedir."
"Arama Motorları","Arama motorları girilen anahtar sözcük veya cümleyi alarak, aranan sözcükleri içeren web sitelerinin bir listesini sunan
özel programlardır. Bu şekilde çalışan arama motorları çok basit bir kullanıcı ara yüzü içerir ve birtakım uygun algoritma
türlerini kullanarak aramaya en iyi uyan karşılıkları gösterir."
"Literatür Taraması Yapılırken 
Nelere Dikkat Edilmelidir?","İyi bir literatür tarama süreci kapsamlı,
eleştirel ve güncel olmalıdır. Literatür
taraması yapılırken öncelikle yeni
çalışmalardan başlayıp geriye doğru
gidilir."
"Literatür Tarama Ölçütleri","Bir araştırmada literatür taraması yaparken
belirli ilkeleri ve ölçütleri gözetmekte yarar
vardır. Bunlara dikkat etmeden yapılan bir
literatür taraması, araştırmaya beklenen
katkıları sağlayamaz hatta yanıltıcı bile olabilir.
Literatür taraması sırasında dikkate alınması
gereken ölçütler aşağıda açıklanmıştır."
"Literatür Tarama Ölçütleri - Özümseyicilik","Araştırmacı incelediği alanyazını gerçekten
anlamış görünüyor mu? Bu sorunun yanıtı,
özgün ve işlevsel araştırmalar yaparken çok
önemlidir. Alanyazını yeterince özümsemeden
yazan araştırmacılar raporlarında kendi
seslerini tam duyuramazlar."
"Literatür Taramasında Sistematik - Yaklaşımlar","Alanyazın taramalarında yaygın kullanılan sistematik yaklaşımlar olarak  zamansal, konusal ve yöntemsel yaklaşımlar ön plana çıkmaktadır.  Zamansal (chronological) yaklaşımda ya kaynakların yayınlandığı yıllara göre bir anlatım sırası izlenir ya da eğilimlere
göre bir anlatım yeğlenir. Konusal (thematic) yaklaşımda zaman akışı yerine belirli konulara ya da başlıklara göre bir sıra izlenir. Kuşkusuz, bazen konuların sunuluş sırası ile yıllara göre akış örtüşebilir. Yöntemsel (methodological) yaklaşımda ise odaklama noktası zaman ya da konu değil araştırmacının kullandığı yöntemdir."
"ETİK SÖZCÜĞÜNÜN KÖKENİ VE ANLAMI","Etik sözcüğü, Yunanca ""karakter"" anlamına gelen ""ethos""
sözcüğünden türetilmiştir."
"ETİK","İnsanların kurduğu bireysel ve toplumsal ilişkilerin
temelini oluşturan değerleri, normları, kuralları, doğru-yanlış ya da iyi kötü gibi ahlaksal açıdan araştıran bir felsefe disiplinidir.
Etik her şeyden önce istenilecek bir yaşamın araştırılması ve
anlaşılmasıdır. Daha geniş bir bakış açısı ile, bütün etkinlik ve
amaçların yerli yerine konulması; neyin yapılacağı ya da
yapılamayacağının; neyin isteneceği ya da istenmeyeceğinin;
neye sahip olunacağı ya da olunmayacağının bilinmesidir."
"BİLİM ETİĞİ","Bilim etiği, etiğin bilimsel süreç içerisinde uygulanma
biçimidir. Bilim etiği, bilim erdemini anlama ve temelini
araştırmanın yanında bilim insanlarının bilimsel
araştırma sürecinin her aşamasında uyması gereken
etik ilke ve kuralları da belirler.
Bilim gibi etik de, kuralların eksik olduğu yerlerde
uygulamaya rehberlik etme ve kuralları
yorumlamanın ötesinde teorilere ve metodolojilere
dayanmaktadır."
"YÖK BİLİMSEL ARAŞTIRMA VE YAYIN ETİĞİ  YÖNERGESİ","Bu Yönergede Bilimsel Araştırma ve Yayın
etiğine aykırı ve aykırı olmayan eylemler ifade
edilmiştir.
Bu yönerge 2547 sayılı Kanunun 24 üncü, 42
inci ve 65 inci maddelerine dayanılarak
hazırlanmıştır."
"İNTİHAL","Başkalarının özgün fikirlerini, metotlarını, verilerini
veya eserlerini bilimsel kurallara uygun biçimde
atıf yapmadan kısmen veya tamamen kendi eseri
gibi göstermek İntihal olarak adlandırılır.
İntihal, akademik dürüstlüğü zedeleyen önemli bir etik
ihlaldir ve ciddi yaptırımlarla karşılaşır."
"İNTİHAL TÜRLERİ","1. Klonlama (Clone)
2. Kopyalama (Ctrl-C)
3. Bulma-Değiştirme (Find-Replace)
4. Remiks Yapma (Remix)
5. Geri Dönüştürme (Recycle)
6. Melezleme (Hybrid)
7. Lapa Yapma (Mashup)
8. 404 Hatası Yapma (404 Error)
9. Toplama (Aggregator)
10. Yeniden Tweetleme (Re-Tweet)
"
" Klonlama (Clone)","Başkasının çalışmasını
kelime kelime kendininmiş gibi sunma"
"Kopyalama (Ctrl-C)","Değişiklik yapmadan tek
bir kaynaktaki metnin önemli bölümleri
içerme"
"Bulma-Değiştirme (Find-Replace)","Anahtar
kelimeleri ve cümleleri değiştirme fakat
kaynağın önemli içeriğini koruma"
"Remiks Yapma (Remix)","Birbirine uyan
birçok kaynağı başka sözcüklerle anlatma"
"Geri Dönüştürme (Recycle)","Yazarın
önceki çalışmalarını kaynak göstermeden
fazlaca alma"
"Melezleme (Hybrid)"," Kaynak göstermeden
kopyalanan metinler ile kaynak gösterilenleri
mükemmelce birleştirme"
"Lapa Yapma (Mashup)","Birçok
kaynaktan kopyalanan materyali
karıştırma"
"404 Hatası Yapma (404 Error)","Var
olmayan ya da kaynaklar hakkında hatalı
bilgili kaynaklar içerme"
"Toplama (Aggregator)","Uygun kaynak
içerme fakat neredeyse hiç orijinal
çalışma olmama"
"Yeniden Tweetleme (Re-Tweet)","Uygun kaynak içerme fakat orijinal metne
ya da yapıya çok yakından dayanma"
"SAHTECİLİK nedir?","Bilimsel araştırmalarda gerçekte var olmayan veya
tahrif edilmiş verileri kullanmaktır.
Bu tür etik dışı davranışta bilimsel verilerin tamamı
değiştirilebildiği gibi sadece araştırma sonucuna
uygun verilerin kullanımı da mümkündür."
"ÇARPITMA nedir?","Araştırma kayıtları veya elde edilen verileri tahrif
etmek, araştırmada kullanılmayan cihaz veya
materyalleri kullanılmış gibi göstermek, destek
alınan kişi ve kuruluşların çıkarları doğrultusunda
araştırma sonuçlarını tahrif etmek veya
şekillendirmektir."
"TEKRAR YAYIM nedir?","Mükerrer yayınlarını akademik atama ve
yükselmelerde ayrı yayınlar olarak sunmaktır.
Bunun yanında araştırmanın birden fazla dergiye
gönderilmesi ve yayınlanması durumudur. Ayrıca
araştırmada bölünmeler veya ufak değişiklikler
yapılarak birden fazla yayın elde edilmesini de
içermektedir."
"DİLİMLEME","Bir araştırmanın sonuçlarını, araştırmanın
bütünlüğünü bozacak şekilde ve uygun
olmayan biçimde parçalara ayırıp birden fazla
sayıda yayımlayarak bu yayınları akademik
atama ve yükselmelerde ayrı yayınlar olarak
sunmaktır."
"Diğer Etik Türleri","• Destek alınarak yürütülen araştırmalar sonucu
yapılan yayınlarda destek veren kişi, kurum veya
kuruluşlar ile bunların katkılarını belirtmemek,
• Henüz sunulmamış veya savunularak kabul
edilmemiş tez veya çalışmaları, sahibinin izni
olmadan kaynak olarak kullanmak,"
"BİLİMSEL ARAŞTIRMA VE YAYIN 
ETİĞİNE AYKIRI OLMAYAN EYLEMLER","Bir başkasının özgün üslup ve ifadesinin
aynen kullanmamak şartıyla, anonim
bilgilerin, bilim alanlarının temel bilgilerinin,
matematik teoremleri ve ispatları gibi
önermelerin çalışmalarda kullanılması etik
ihlal olarak değerlendirilemez."
"TÜBA-TÜRKİYE BİLİMLER AKADEMİSİ","Türkiye Bilimler Akademisi (TÜBA)
“Akademik Bilim Etiği Komisyonu’nun
hazırladığı ve “Bilimsel Araştırmalarda Etik
ve Sorunları” başlığıyla kamuoyuna kitap
halinde sunulan raporda bilim insanlarının
uğraşlarında üzerinde durmaları ve dikkate
almaları gereken ilkeler, şu şekilde
belirtilmektedir."
"Gerçeğe Uygunluk","Veriler, sadece bilimsel yöntemlerle
yürütülen gerçek deney ve gözlemlerden
elde edilir."
"Bilimsel Araştırmanın Zarar Vermemesi","Araştırmanın deneklere zarar vermemesi,
deneklerin olası riskler konusunda açık
şekilde bilgilendirilmesi ve deneye katılım
kararının etki ve baskı olmaksızın özgürce
alınması gerekir."
"Sorumluluk ve Haklar","Bilim insanları araştırma sonuçları ile
ilgili olarak toplumu bilgilendirmek,
olası zararlı uygulamalar konusunda
uyarmakla yükümlüdürler"
"Yazarlar","Araştırma sonuçları, araştırmayı
yapanların tümünün isimleriyle
yayımlanır."
"Kaynak Gösterme ve Alıntılar","Bilimsel yayınlarda ya da genel kamuoyuna dönük
olarak yayınlanan her türlü makale, derleme, kitap
ve benzeri yayınlarda daha önce yayınlanmış veya
yayınlanmamış bir çalışmadan yararlanırken o
çalışma bilimsel yayın kurallarına uygun biçimde
kaynak olarak gösterilmelidir."
"Akademik Etkinliklerde Etik ve Bilim
İnsanı","Bilim insanı akademik yaşamının bütün evrelerinde ve
öğretim, yönetim ve akademik değerlendirmelere ilişkin
görevlerde bilimsel liyakati temel ölçüt olarak kabul
eder, temel etik kurallarının dışına çıkmaz ve bu
kuralların dışına çıkılmasına göz yummaz."
"Bilim İnsanının Sorumlulukları 
(TÜBA)","Aynı konu üzerinde araştırma yapmış ve
yapmakta olan diğer araştırmacılara karşı,
onların katkılarını içtenlikle ve açıkça
teslim edici bir tavır içinde olmak ve bu
tavırları bilimsel bir çalışma yaparken tam
olarak korumaktır."
"ETİK DIŞI DAVRANIŞ NEDENLERİ
- Dış etkenler","Yayın yapma baskısı, rekabet, geniş
bilim alanı (etkili danışman fırsatını
azaltmak) ve kötü örnek olan
danışmanlardır"
"ETİK DIŞI DAVRANIŞ NEDENLERİ - İç etkenler","Kişisel mali kazanç, ego veya kibir, Hassasiyet 
Eksikliği, Bilgisizlik ve psikolojik rahatsızlıktır"
"İNTİHALİN ÖNLENMESİ İÇİN 
ALINAN ÖNLEMLER","Ülkemizde TÜBİTAK, bilimsel alanda
sahtekârlığın tanımlanması ve
önlenmesine yönelik bir dizi çalışma
yürütmektedir. TÜBİTAK bünyesinde
kurulan “Araştırma ve Yayın Etiği
Kurulu” bu oluşumlara örnektir."
"TÜBA Bilim Etiği Kurulu","TÜBA Bilim Etiği Kurulu 1 Aralık 2001
tarihinde yapılan toplantıda konuyla
ilgili 6 temel ilkeyi benimseyerek
kamuoyuna duyurmuştur. Bu ilkeler
1- Bilimsel verilerin gerçeğe uygunluğu;
2- Bilimsel araştırmanın çevre ve insanlara
zarar vermemesi gereği;"
"İNTİHAL NASIL TESPİT EDİLİR","İntihal belirtilen yöntemlerle tespit edilebilir.
• İntihal Tespit Yazılımları
• Etik Kurulları
• Tez Jürileri
• Bilimsel Dergi Yayın Kurulu /Editör/Hakem"
"İNTİHAL TESPİT YAZILIMLARI","Çok sayıda intihal tespit yazılımı vardır.
• Turnitin (tez, ödev, proje benzerlik 
belirleme, AI Yapay Zeka desteği) 
• iThenticate (Makale benzerlik belirleme, 
AI Yapay Zeka desteği) 
• Urkund (Tez, ödev, proje benzerlik 
belirleme, AI Yapay Zeka desteği) 
• İntihal.Net (Türk Yazılım) "
"DİĞER İNTİHAL TESPİT 
YAZILIMLARI","• Ephorus
• PlagAware
• Strike
• Plagiarism
• PlagScan
• Compilatio
• Docoloc
• Duplichecker
• PlagTracker
• OAPS 
• Plagiarism Checker
• Plagiarisma
• ArticleChecker
• Copyscape"
